userName,content,Classification,Confidence
Matthew Edward Campbell,Features are all right. It doesn't seem to me like they actually USE their own product. Else the idiosyncrasies would have been ironed out.,Negative,0.607
Jessie Forrester,Didn't like,Neutral,0.438
Lothario Rowe,"Now able to see list view from widget thanks to developer response - but there's a new bigger problem now. The integration with Google Assistant is going terribly. Everytime I try to add an item to my grocery list through Google Assistant, Any.do creates a new list called ""Grocery"". When I ask what's on my grocery list, it replies ""you have 3 lists named Grocery, which would you like?""",Negative,0.881
Jena Fuessley,It was awesome at first. Then I try to add an event from the widget and it won't do it correctly. Super frustrated,Negative,0.999
Walton Pantland,"Nuisance app. It probably works fine, but it's definitely not for me. However, when I decided to uninstall it, it gave me no easy way to delete my account. To delete my account I need to enter a password. I never set a password because I signed up with Google. So I have to login to create a password just to enter password to delete the account. I haven't figured out how to revoke the permissions I gave. This is abusive. Deleting an account and data should be straightforward.",Negative,0.997
Travis Ward,"Love this app, but some functions make the productivity lacking. In my experience, there is a limited amount of notifications I can receive from this app per day. There appears to be no way to change this on the settings for my phone or the app. This is problematic for me, because I have the premium version and have it connected to Zapier. I am not receiving push notifications when actions are taking place. Very disappointing, as this is crucial for time management projects with teams.",Negative,0.852
AL The Great Ubod,"The Next 7 Days is No Longer Showing ""the next 7 days"" but rather group by lists and not by days..",Neutral,0.836
Yoad Michael,"I have used this app for years, it is great if you want to be more organized and get reminders of the tasks you need to do. I must say however, that the app itself has regressed throughout the years with all the updates. Things used to be simple and intuitive, now I don't understand what half the buttons do, basic functions like deleting and removing tasks are way too clunky. The concept of the app is great but I can't recommend it anymore, each update makes it worse.",Negative,0.999
Kelsii Montez,"It's a good app! It reminds me of things I tend to forget, don't get me wrong. It's good just that I don't like the layout that came wirh the recent update. Everything is cluttered now, before things were organized, what happened?",Positive,0.54
Anton Shushuykin,"99% premium advertising, free version is not usable",Negative,0.975
Marilyn DeVase,I pay for the premium app and it keeps closing down on me once Im in the app. What can I do to keep that from happening?,Negative,0.734
A Ndrea,"Just enough features to be useful yet simple and (mostly) uncluttered. Been using the app for years. The new rocket animation showing total tasks completed, and congratulating me for the most mundane thing is extremely irritating though, and lost the app a star.",Positive,0.838
REGINALD OGLETREE,Almost perfect app just one thing I wish anydo had is hourly reminders and copy reminders to set the same task just a different time... This is coming from a PAID subscriber...,Positive,0.836
shannikia ranson,What happened to the missed calls notification? I recently switched phones and had to download the new version and the option is no longer there. It was one of the main reasons I used the app.,Negative,0.821
Ibrahim El-Fakih,"To be fair, I downloaded it and uninstalled it after a couple of minutes. The reason for this is that I hate apps that scream ""pay me money"" since the instance you download it, and this one did that exactly. With the ""free premium trial"" being in your face all the time, and then setting it up or going through the tutorial you could see all the features and all you could see is ""premium"". Just do the app as a paid one instead of begging for people to pay for it. It looks amazing though.",Negative,0.963
yujin landscape photography.,Love it. Great future.??,Positive,0.985
HD PUBG King,So nice,Positive,0.976
Paul Wiley,fantastic,Positive,0.991
Nate Pill,Too many options and gets too fancy for an app that should just have simple functionality to setup reminders and to do items,Negative,0.772
Brigitte Daigle,"Good app but needs ability to customize recurring events by allowing us to input an end date.. i.e can't end a private lesson series after 8 lessons, it reoccurs forever.",Neutral,0.489
Carolina Hernández Bonnet,"La baje para sincronizarla con Whatsapp y esa función es paga, por lo demás no la probé.",Positive,0.734
Brenda Thompkins,Way too expensive; if there was a monthly option I may consider going premium.,Positive,0.552
joshua olumodimu,"Expirencing some problems with the reminder sometimes it sounds, sometimes it doesnt, help please",Neutral,0.508
Al Z,Great UI an reminder app. Only downside is I cant mute notifications for certain accounts which is really annoying. I'd like to see my events but not have notifications for them as I have a ton.,Positive,0.932
Jeremy Jefferies,Just not for me. They also seem to refuse to let you delete your account by refusing a password that was created 15 seconds. Lots of cool features but not what I'm looking for.,Negative,0.993
Thiago M,"Perderam integração com a Alexa? Ao selecionar a opção no Any.do, sou direcionado para o app Amazon Alexa e lá aparece a mensagem de erro que essa skill não existe mais.",Positive,0.55
Mike Starr,Reporting abuse.,Neutral,0.633
Syed Waqas Ali Naqvi,good,Positive,0.969
Lucy Shaban,I like it true,Positive,0.682
Adrian Sangalang,"App is fantastic. However, when a task reminder pops up, it disappears without acknowledging the notification. It used to have an icon at the top left but it does not show up anymore. Not sure if it is a big in the latest update. Please fix. I am on a OnePlus 7 pro running the latest OS.",Positive,0.444
Om Yadav,Hyyy,Positive,0.862
Dinesh,Any Do Moments are not working for me.. ? Please look into it.,Negative,0.708
Anand Mehta,"1) When i access from pc it shows different calander google account. And when i access from phone it shows different google account (i use 4 different gmail accounts) 2) also when a task is completed or deleted from the app, without touching the notification bar on phone, notification on phone stays. It has to be swiped away manually. So i have to use two actions to delete one tasks. Edit-1 Now the app sticks and has become slow after the recent update. i tried uninstalling and reinstalling. still no success. it",Negative,0.999
?????? ??,Don't know,Neutral,0.693
Kevin Clarke,"I can't set my time the same time I write up a task. I always have to save then revisit and set the time, which is very annoying. Also I can't upgrade to the premium version which is very disappointing. Overall not a bad app but there are a few things that need to be tweaked",Positive,0.923
CO TH,It went from simple and useful to cool and confusing this morning. I don't know what is going on. I'm disturbed,Negative,0.931
redacted,"Great features, ability to collaborate, and plenty of options. I just wish the interface was designed by a human being, it's the most cluttered and hard to navigate todo list app by far. Compare it to Google Tasks for example: You just open the app and start typing, and everything you need is right there, with easily discoverable features. This app constantly had me frustrated and searching around for what I wanted to do. UI in general looks like a high schooler with a UI hobby made it. Basic af",Positive,0.942
Ahmed Maher,We need a monthly payment terms. Currently it is yearly only!!,Neutral,0.784
Kate Watts,"I absolutely loved this app, but for the last week or so I cannot scroll through the calendar function without it scrolling itself back up to the previous week. Horrendously annoying. If you could fix this that would be awesome as otherwise I would have given 5 stars...",Positive,0.511
Kira,mobile app isn't very intuitive but the desktop app is good,Positive,0.901
Christine Melson,"I like the app overall, but there are bugs that need fixed. The app keeps stopping. Also, pay and buy need a recurring option.",Negative,0.826
Daniel Melnikov,"All around amazing life improver with one irritating caveat. The reordering functionality could really use some work. Often the reordering fails and the task gets thrown out of ""Today"" into ""Someday"" which means I have to go fish it out from a long list. Sometimes this will happen multiple times in a row really testing my patience. Been dealing with it for many months now - want to continue using this awesome app but really struggling with this one bug. Galaxy S9+, Android 10, One UI 2.1",Neutral,0.558
Chris,"Beautiful interface but it is very annoying to navigate and not fluid. Creating reoccurring tasks seems to be a pain. Not sure if it's me or the app, but I kept having to change the time 2-3 times to get the correct times reoccurence. Grocery list is awesome. The calendar looks like Google calendar which is nice but it is choppy to navigate.",Positive,0.835
???? ????,The day ended and i didnt end my task and it didnt shift or alarm about undone tasks,Negative,0.874
Jade,It's not what i need,Negative,0.924
Vivek Brahma,It had a peculiar issue.. I have set it up to remind me of my ask with on screen notification but often it fails to do so and then I miss the task.,Negative,0.981
BettrThnUR,This is so frustrating!!! I set a event for someone's birthday then a event a month ago before the birthday to not forget to buy the stuff they want and nothing shows up! Nvm it shows up on my Google calendar,Negative,0.987
Shameer Pathoor,Don't have a monthly plan. I can't find it in the premium section,Negative,0.589
Mathiaus Poe,"I like the functions, wish the support was better.",Positive,0.971
Able Jaison,Well I have suggestion make a system where students could track time... Like total available time then distribute it over task..,Neutral,0.75
Stephen Barratt,Not pleased,Negative,0.791
Aislinn McCann,I love the widget but whenever I edit an event on the calendar it changes the day to like the day before without me doing so and it's extremely annoying,Negative,0.98
Vaibhav Patil,How to get the pop up for missing call alerts,Neutral,0.65
First Last,"The latest app update (7/26/20), ""new app navigation..."" is a definite downgrade, from panes to a one side scroll, now I can no longer see full task list names, the ""all tasks"" option is changed, the new layout sucks. Why do developers always do this, ""fix"" things that aren't broken? Why can't you just improve the things people are requesting, instead of changing everything else around too? This ver is much harder/inconvenient to navigate than the previous one was. Trying to revert to older.",Negative,0.989
Prinnydi Barr,Don't like the app and trying to unsubscribe but there is no option,Negative,0.839
Barb Grajewski,Can't import/sync w/ Google Tasks?,Neutral,0.89
Akshat Shah,The daily reminder does not work i mean it works on the first day but than on the next day it does not make sounds or pop up when its to do the task,Negative,0.99
Eliezer Cisner,"While it sure has its benefits, there's still a lot to be desired.",Negative,0.9
Praneel Shah,Problem with the notification. Can't complete task from notification. Keep showing till I mark task as finished that too by opening the app.,Negative,0.63
Suhaib hussain,Sir i have deleted this app i cant understand how to do so that the reason please reset my google account from any do and donot charge after 7 day trial,Negative,0.975
Marc Martin,"Extremely aggressive in pushing the premium and paid version. Also overly complex since as its name denotes, it tries to do everything or anything. It may be beneficial to consolidate and duplicate tasks of several other apps even though some can perform better. Compare the shopping list in Google Keep which is easier to add or subtract items from a constant shopping list. This app combining tasks from other apps can be useful, depending on an individual's preferences and abilities.",Positive,0.931
Jysika Hill,Literally half the features under premium can be found free with other apps.,Negative,0.45
Let the No One meme die already,It's ok,Neutral,0.766
Vicky Sihotang,How to connect with Yahoo mail,Neutral,0.773
Jess Zga,Needs smart dictation like todoist and better calendar widgets like ticktick,Neutral,0.75
Katrina R. Pattin Senior,Needs work. Time options in Custom ARE NOT Professional enough.,Negative,0.956
Lynsey Edwards,Can't move it to SD card. I need space on my phone so I'll likely be deleting it.,Negative,0.929
nerio dimayuga,Review more for 5 stars!,Positive,0.829
Kunal Aggarwal,I paid for premium account. But my account status is still free with no premium feature.,Negative,0.595
Barry Kilzer,I really want to like this app. We use it to share shopping lists. But the syncing with my wife's phone leaves much to be desired.,Negative,0.987
Loay Al Masry,I am on premium and i don't receive whatsapp messages as reminders,Neutral,0.571
A. A,Add features like todoist,Neutral,0.551
deeba hummera,"I like the app but the only thing which i personally wanted was, if i were able to share picture with my shared tasks people, lets say i make a task to pay bill with my husband but i want to send him the image of the bill. Other than that better from other apps",Positive,0.92
Kimberly Bronson,"I have used this for a while and, though it isn't a perfect fit, it does a great job of allowing me to schedule alarms for tasks and easy snoozing of those alarms. But they updated and fixed what wasn't broken. Now, all uncompleted tasks show in the task window with no delineation of whether they are recent, scheduled, or past due. Visually, it is very confusing. I'm probably going to dump this app. I would like a good calendar view of things scheduled on each day and it doesn't have that.",Negative,0.837
Maira Julli,Ok,Neutral,0.782
ABDUL AKACH,You have to pay to get half the features,Neutral,0.818
Konstantin Kenisberg,Very limited without premium,Neutral,0.571
Michael Sterling,"When you put something in a category and then rename it, you have to re-categorise. Not amazing at sharing - list items get out of sync on multiple devices.",Negative,0.826
Geoff Gilman,"It's got promise, just not there yet. To many glitches to justify the premium version. Small things here an there but the main problem is events consistently erase information and become in unable to edit. Now you have permanent events stuck in your calendar that cannot be changed. For the free version I guess you could put up with it but it's still annoying. It's got style and potential. One day I hope to be back and check it out again.",Negative,0.896
Ayush Agarwal,Best GUI with few bugs,Positive,0.506
Sarah Boyd,I left a review earlier that was one star. While the app wasn't for me (I found that it was confusing and didn't suit my needs so I deleted it shortly after) The customer service was fantastic. I was charged for a subscription even though I didn't use the app because I made a mistake in canceling the subscription. I sent an email detailing my problem and asking for a refund. The response was quick and a refund was granted I thought it was only fair to come back and leave a nicer review.,Negative,0.775
AbdulLateef Olu-Rosenje,I just downloaded the app not quite long. I've started to enjoy it but there's one problem. The widget is usually empty even though there are tasks in the app. What can I do about it?,Negative,0.718
Erfan Heydari,?????? ????? ??? ???? ???????? ?????,Negative,0.794
Arun Kumar,Nice,Positive,0.947
Anji Degi,Very handy if you're going shopping or need reminders on what you want to purchase. Easy to use and plenty of features.,Positive,0.999
Al M,"I have such extensive ideas for productivity apps that a developer should retain me as a consultant before the competition gets me. None are even close to my standards, yet. One general idea for free: if a customization option that any one to-do list app has is useful, why don't they all have it?",Neutral,0.561
Furqan Quadri,"App was excellent till recent, but I'm unable to add new task after recent updates.",Negative,0.627
Melody Mountain,I really like this apps cos it allows me to plan weekly schdules which is very important to me.,Positive,0.94
Hayati Assyikin,"This is a simple free app. With an easy to use features and interface. But not much to explore, limited, with only the premium features as something that might pique your interest on. Other than those, this app does what it says on the description. If you're interested in a straight-to-the-point checklist, with minimal features, I think this can be your go to app. (3 stars; since this is not what I, personally, would look for in a to do app)",Positive,0.934
ZAH ZAH,Missing an important feature!!! They need to add the option to remind you every x minutes and x hours per day. It is a must for someone who has ADHD. I would definitely keep the upgrade if they can implement this feature.,Positive,0.726
Harsh soni,"Bug is there in recent version, whenever i try to mark incomplete a task a duplicate task comes up with same name again and again. Also we cannot recover our mistakenly deleted task",Negative,0.983
Roar Woof,Its okay so far but im not sure on how to find the focusing tree part in order for me to stay focused just wondering how you do it other than that not too bad of an app,Positive,0.916
Yazdan Ali,It is not working,Negative,0.881
Denise Collins,LIKE,Positive,0.56
Michael Taliotis,"Waiting for the bug to be fixed which causes the tasks to be moved out of order and disappear,otherwise great app.",Positive,0.973
Joshi Dhamu,I want to use this app but i can't do log in. Many times i uninstall and reinstall but prb is still not solved,Negative,0.916
Jaimie- Yolanda-Pyatt,"Still exploring, sry",Negative,0.492
Missy Predum,I believe I am rating about getting back on engine browser and phone after batteries or devices cannot interface,Negative,0.925
Kassandra Kinsman,Tried it. The app worked well but found something that works better for me personally..?,Positive,0.722
janil lalan,Not so good,Negative,0.922
Needi baig,This site is most suitable for those who wanted to get a jobs from home Thanks a lot,Positive,0.987
Anjana Swathi,Great app. But I am not getting notifications even when i set time to remind,Negative,0.956
Abhishek Chowdhury,Going for free and better Microsoft To-do,Neutral,0.902
Lori Lee Dover Bishop,So far I'm not impressed and I don't see where it's worth over $40 a year to use... I'm really trying to use it for everything since I did pay for it but to me it's just not worth it.,Negative,0.998
rick loffman,Not bad,Positive,0.84
Donna JACKSON,"NEED MORE ×.WITH APP, SO FAR SOGOOD",Positive,0.988
Ruby Oz,"Overall not a bad app. For the first week or so, it gave me notifications when it was supposed to, but after that, it's almost like it forgot sometimes itself, e.g. notification on Saturday when I set it for Friday. Reminders for things I have set daily don't even come up anymore, but it remembers to give me an display-over-app notification to remind me to set a reminder. Also, no push notifications that take you into the app so you'd have to do it yourself. Sub-tasks are my favourite feature!",Positive,0.954
Justin McClelland,Will not let me start the free trial or for that matter purchase an upgrade so for now since it's stuck like me 3. Get it fixed and I'll improve score.,Negative,0.91
Sid Jivani,"Hey dev, please bring back old UI in quick add widget... This new update does not have faster and efficient adding task event... Old version was perfect.... Please i have been using anydo since 4 years.... Please don't spoil it..",Positive,0.657
Olivia,"i would honestly give this app a chance if more features were available for free users. a lot of people dont have the money to spend on an app like this, and since there are many other options i will try those instead. premium for this app looks really helpful and the layout of this app is great but im going to have to uninstall since the free version isnt really helpful to me :(((",Negative,0.997
Abhijeet Mishra,"I had opted for premium. But even basic things like I wanted to start fresh, so I said delete all tasks, but it added that as a reminder from what's app.",Neutral,0.567
????? ???????,"Nice app, I think, but you need premium to use it. Free version is very ripped off.",Negative,0.526
Ahmad Ahmad,Delet,Neutral,0.697
Nha Toch,Thank you ?,Positive,0.551
Marián H,Features available in many apps for free are paid here...,Neutral,0.814
Stephanie Thoday,I would normally give this 5 stars but the past few days the widget has not allowed me to make tasks on future dates. It just puts the task on todays date. And you cant put tasks on random future days either. Tomorrow yes but i like to plan ahead of tomorrow,Neutral,0.572
Sathya Narayanan,Super,Positive,0.557
J Smith,don't understand collaborative editing,Negative,0.78
Brian Agnew,"Custom sound taken away, now you say they're back, thry aren't showing up. Hit and miss with quick add task doing voice input is annoying too. Make that a setting, but the biggest is the custom sound issue. Now adding a timed reminder is harder, just a tiny little bell icon to try and hit (it's crammed next to other icons, so it's easy to tap the wrong one.) Make better improvements, like a continuous scrolling calendar, instead of it jumping between months for a reminder the next day.",Positive,0.913
Stephen Harmon,Not very user-friendly. I found it hard to navigate and find what I wanted. It works nicely and I appreciate the simple art style.,Positive,0.693
?Richard,"On the widget, Calendar tab not functioning although inside the app already linked my Google calendar.",Neutral,0.692
Suvy B,How do u change it to am or pm because I can't press it and the time is really important,Neutral,0.625
Nipun Kalupahana,Can't edit the time of a scheduled task and no sound/alarm notifications for the tasks. Edit- sound issue resolved. But still having issues with editing tasks. Not a very user friendly interface.,Negative,0.772
Edwin Gonzales,I'm(Edwin M. Gonzales)Admin),Neutral,0.831
Batul Poonawala,Gud,Negative,0.548
Kyande,"It used to be my everyday companion in every organisational way, but after the new update, there was no way to place a new task into the right day. It automatically put the task in the current day, not it's intentional deadline",Negative,0.994
Sophie Aynsley,Great app and does what I want it to do. (Is my prefered habit tracker ) However I believe the colours should not be a premium feature. Far too expensive as it is the only reason I would get premium! Perhaps make adding wallpapers from gallery a premium feature?,Positive,0.938
Chris Dana,"almost a 5. just integrate google reminders so I can ask google to remind me about things, and keep track of them here. Update: 4/27/20 Google integration is here. It doesn't work. Now you get 3 stars for doing a crappy job ?",Negative,0.983
Nali Ali,Reminder sound not sounding,Negative,0.98
Stephen Carter,It is better than the normal app in your phone I only wish their was better support for the calendar,Positive,0.89
Rajesh Mourya,Need more user friendly interface. But very useful application my mobile.,Positive,0.966
J. R. West,"updated review; left review here for wrong app. Not bad so far, migration of data off wunderlist mixed up all the items in the list, sorted by date, not within each list. not necessarily the apps fault. just challenging just to get started. already deleted two other apps that were worse.",Negative,0.991
Anisubhra Sarkar,Everything is great. But the sort by time isn't working properly.,Negative,0.866
A Google user,"I've been using this for a long while now and it remains the penultimate, perfect to-do list app! I recommend it to pretty much EVERYONE I talk to, especially friends, family, and coworkers. -- 4/18/2020: latest update has eliminated the ability to resize widgets as needed. The remaining options are too large or too small.",Positive,0.679
Sadia M,I asked seven days trial to see whether I like or not and you have already taken the money for the whole entire year that is a rip-off,Negative,0.718
JOAN,Tried to share a list with my husband but it won't share between my Office account and his Personal account. It's a show stopper.,Negative,0.917
Noel Davila,"Nice up. The only problem is price. Prices are the same to first world and third world. They don't have option to poor countries only for the rich ones. They don't have even option to students. The product is good, but there's no equality. Sad.",Negative,0.81
Rabbit Bensley,"Don't personally care for the user interface or reminder/plan your day approach. Was looking for something...honestly...simpler. This is over the top for just my husband and I. On the other hand, for a BUSY family or business person, this is exactly what they need.",Positive,0.983
r a,"So far I am satisfied with this nice app compare to other simlar apps. But one thing I noticed, once I restart my gadget, it automatically clears all the tasks being displayed on my notifications bar. 2020: Notifications bar reminders are not synced with the current date. Why? :(",Negative,0.977
"AlanC HARRIS, PH.D.","When I need it, which is rare z comes in handy ..",Positive,0.501
Andrew Newman,"Linked it to my MS exchange, sadly It doesnt show the attachments in my calendar entries...shame as this was looking promising...??",Negative,0.74
Lesley Yan,"Very good app, simple but enough to use, I'm going to get pro. But a question, sync with google calendar, is 1 way sync (only can review), or 2 way sync?",Neutral,0.586
tameem nasir,"The app is great but it would be better if you could increase the payment methods, to upgrade to premium. My debit card isn't supported it says..I live in Pakistan",Negative,0.653
Kristal Lightning,"I wish I could pick the day tasks to display on the widget. Since the last update I can only see whole lists, not those I prioritized. Edit: thanks for the response, but this is not true. When I change the layout in the app and delete and reload the widget, it still lists personal first",Negative,0.946
PRATHAP DAVID,All good. Should work on calendar,Positive,0.847
Akash pruthi,Love it!! But can't afford premium?,Positive,0.669
Ruthnie Angrand,"Coordinates Humans ?? This app was my go-to until covid hit. Keeping my personal, consulting business, and day work calendars in one app was madness. I broke off my day work to microsoft .to do on a separate device. Any.do now coordinates my consulting and my personal and family tasks, lists, and bills. Its refreshing. I do have syncing issues for calendar events as well as a crash everytime I add people to invites when creating an event. Thats why I gave it 4-stars. Love it for tasks.",Positive,0.992
Schenly Jeff Pelias,"Good app. But didnt exceed my expectations to create a google hangouts scheduler. I really want an automatoc hangouts chat scheduled to be sent but when I tried to set it up on zapier, it doesnt work. I had to unsubscribe to yearly premium, Im not sure what gives the premium vs free",Negative,0.559
FARHAN MUHAMMAD,"I have been using this app for years and previous update of ""next 7 days"" update is amazing. I usally plan my day in morning and use widget to view my today's tasks but now app widget shows tasks by category not by next 7 days which has created a serious issue for me. I highly recommend in widget show tasks by day wise list not by category wise otherwise for me and for many this app is useless.",Negative,0.564
Some Rando,"It's OK but it's not for me. I'm a student and cannot pay for an upgrade in the app. The free options are a bit limited so I, had to delete this app. Hope you enjoy it tho? Edit: Thank you for replying. I will make sure to give it another try and re-rate it depending on my second experience :) 2nd edit: it's very helpful. It does what it's created for: planning and keeping your life organized. And with reminders for us forgetful people . Bravo? I still feel like its missing something...",Positive,0.628
Mark Poland,"Great app, but don't want to pay a monthly fee for all the features I don't use. Please offer a one time fee to use a dark theme / mode, so your customers don't have to stare at a glaring white screen. White screens also use more battery power than dark ones, so it also drains your battery quicker. Just about everyone else is offering this option for free, so please offer it to your customers for a reasonable price too. Thank you.",Positive,0.97
Jono Major,1) It has a calendar feature but you can't customize the calendar events repetition as much as you can in google (can do daily but not 5 days a week all in one entry). 2) edit: figured the task sorting part out. Sort by time and collapse upcoming/tomorrow and it will just show your daily tasks. I like that. But it's still not worth paying for unless the calendar event customization is as good as Google's since that is free.,Positive,0.932
Fj Smith,"Please, if possible, can you make it no limit or larger limit as to how many words you can put in a list? As it runs out rather quickly l. For example if you use it to make a shopping list. Thank you.",Neutral,0.47
Alex Ujvary,"Tried adding some Zapier combinations, but whenever I need to log into something through App's Zapier, it fails. Only works if done outside the app, and outside Any.do. Also it would be a great improvement if the calendar widget would show reminders/tasks as dot too.",Negative,0.507
Dereje Kifle,Very ? nice,Positive,0.979
Augustine Lee,Great app. but buggy. Keeps asking me to delete all completed tasks even though it's empty,Negative,0.818
Mohsen Ebrahimnejad,Good,Positive,0.983
Akash Choudhary,nice,Positive,0.963
T M,Initial upgrade hid the separation of today tomorrow upcoming and someday. After sorting and adding new tasks all of sudden they all showed up again. Don't know why this happened. If these features go away it will make this app much harder to use. The bug freaked me out and cause me to write a very bad review which I have since edited and amended,Negative,0.978
Mayank Khande,Best app for ur task management. Edit: for 5 stars u can add more theme options for free version,Positive,0.711
Mr E,"Too simplistic, but it's pretty good",Positive,0.945
Amirreza Balarak,Why notifications are too short? I want to be able custmize my noti sounds!!!,Negative,0.673
Rasmus Tilljander,"I've used this app for many years with good experience. Lately the UX and complexity have caused some problems, nonetheless, new features have been very good. However, with the latest update I can no longer see tasks planned for tomorrow, a feature that was the reason for using this app to begin with. It's just gone with no possibility to configure it again. I do understand development of new features, but I do not appreciate removal of features that are being used. Great app, not for me anymore",Negative,0.956
???,?????!?????,Negative,0.797
Michele Allum,"It's good app but the calendar view doesn't highlight the day you're on. It's gray like the other days and makes it hard to quicly scroll to today's events. For task view, ,it needs to show the time the task is assigned so you can get it done. However, if you go to calendar view, it will show the task and time.",Positive,0.863
Bambang Nuryadi,This is my best to do apps so far and I like it very much. I wish there are some tutorial to give some advice on how to use all the apps potential. And maybe some connection with google assistant and over voice command.,Positive,0.934
Adekoya Okikiola Christopher,"I love this application so much!!! Good job to the developers. However, I've been having some issues lately with the application. The application refuses to notify me of some tasks I planned to do. When trying to set the time for a reminder, the clock's 5 minutes faster and automatically blocks the other minutes before. As an alternative, I set the date and time using natural language but sometimes it works, sometimes it doesn't. Kindly fix this. Once again, it's a wonderful application.",Positive,0.905
Yusra Syed,Dark theme should be free ?,Neutral,0.763
Yusuf Hussain,Have the free version and even that is quite useful in terms of ease of use and integration with calendars. Now thinking of upgrading. Could get a 5 then.,Positive,0.897
Azamat Abykeev,Good app,Positive,0.979
George Joubert,Like this a lot.,Positive,0.963
vaibhav chheda,"A very good app, easy to write my task and thus no need to remember it, the reminder system is good",Positive,1
ANWAR SHREEF,Locking option is not available..All other features are excellent.,Positive,0.988
Janice Deynira,"I love Any. but got a few things I don't like. For some reason events cannot be colored when they are written directly to Any.do as it happens on Google Calendar and Zapier doesn't give you that option. I have to write the event in Google Calendar, put the color I want to see it in Any.do. It would be great if you could enable that option. Other idea please put a Report option of things done in the day and task completed. Thanks",Neutral,0.599
Raif gaming,Hh,Neutral,0.848
Dorothy Bass,Good,Positive,0.983
Michael C.,This rating is for the free version. Most feature rich free version I've tried of other to do list type apps. Interface takes some getting used to but great features and everything seems to be working.,Positive,0.981
Qui,It would be better if there's an icon beside the task so I can easily identify whether a task has some note to it.,Neutral,0.738
pmmb,"The app keeps getting back to system language even after I selected a different one countless times. I've to select the system language and then select (again) the language I want the app to be with, only for it to go back after a while",Negative,0.986
Tiffany Claire,So great. I have suggested this app to many a friend. Suggestion: have the ability to custom the repeat feature in the events. Sometimes things repeat every week but only for 5 weeks.,Positive,0.97
Miguel Ángel López Giner,"Muy buena app, funciona bien y es muy simple e intuitiva. El único pero que le puedo poner es que cuando mando a mis compañeros de trabajo algún quehacer, no siempre llega la notificación",Positive,0.755
Edhayaraja v,It's good app for all,Positive,0.991
Amy meee,I love it so far.,Positive,0.977
Tin Ko Ko,Great,Positive,0.984
Dr. Taj mohamed maqsood Ali sha,I am using it daily,Positive,0.684
Jirah Codilla,"Suggestions: - Make the tag colors the background of the task, and not just a small line under the task title. At least have this as an option. - The trees in the Focus mode are all the same no matter how quick or long you do a task. Add variety to this mode: trees/plants to choose from, other decorations, probably even animals or different landscapes. Add more music to choose from, too. I definitely love the look and feel of this app. I enjoy it better with Premium, though.",Positive,0.999
Roopi,"Good design, features..",Positive,0.692
Khal Jhay,I really enjoy using the app but I want to suggest a daily summary of tasks to be done (in the morning) and tasks completed and those that were not. Thanks for your hard work.,Positive,0.885
brittney Newman,I dont like that ths deleted or finished every day just let the incomplete ones roll over and the completed ones stay back,Negative,0.818
Jc Jones,"There's a bug where I set a reminder on Saturday weekly then after I saved it, it shows Friday on the screen.",Neutral,0.721
pranith simha Mulamreddy,It is very nice app. It would be good if you could add due date option for tasks,Positive,0.792
Doug Woodward,A good app to remind me of things I need to do,Positive,0.952
Saanu V,Gr8,Positive,0.963
Samwel Mafunda,Excited,Positive,0.489
Dennis Garcia,Very useful,Positive,0.985
NotTheWaquar,Make dark theme available in the free app,Neutral,0.683
???? ?????,Can I import my task list from Google keep app,Neutral,0.966
Keith Finch,Good,Positive,0.983
Pauline PV,It would be better if there was a voice command like Alexa.,Positive,0.498
Binesh NS,Thanks for the support. Battery optimiser on Xiaomi disables the autostart of the app. It works now,Neutral,0.473
Natalie Kelly,Has been super helpful in organising my days. Has made getting my chores sorted so easy,Positive,0.997
Incatnito,So far so good,Positive,0.983
Zeeshan Bsks,Good,Positive,0.983
Refilwe Moeletsi,Nice App. Able to manage my tasks,Positive,0.984
M J,I like this app. It helps me to accomplish my tasks very comfortably. A must have apps for productivity. Thank you,Positive,0.999
YUSUFF AWOSANYA,Decent app,Positive,0.867
"Krishan Gautam 8 D, 11",It helps me to remember what to do as I forget sometimes. It's a nice application but there would be a slight change in it. There must be a ringtone to remember not any message. As people see calls not messages as my opinion.,Negative,0.523
Vignesh B,"This app is brilliantly developed with all necessary features. But few things disappoints us. We cannot set sound notification, it pop-ups only if we are using mobile. Sometimes it doesn't remind us the scheduled activity even in notification. If these bugs are fixed I'll definitely go for paid version with five rating.",Positive,0.609
ITK,Getting better with each up date.,Positive,0.869
Gianfranco BAMBA,App parfaite si vous voulez vous tenir à jour et savoir où vous en êtes avec vos tâches/missions. versions gratuite avec quelques publicités mais rien de vraiment méchant. A tester absolument !,Neutral,0.729
Rana 526,Love it,Positive,0.989
Seenu Vasan,Super,Positive,0.557
Aman Sabet,Any.Do moment new colored style isn't good.,Negative,0.589
Rarejaunt,This app was great a year or two ago. They spam you now with premium service purchase requests (which are costly) and have restricted all the good options to their premium service.,Negative,0.914
Jyoti Vishwakarma,Help you alot to plan your day,Positive,0.543
watson tanganyika,Great app. I really like the integration with other apps like Gmail and Trello etc. My only problem is it sometimes doesn't show notifications.,Positive,0.907
cintya frake prastudewi,Good app,Positive,0.979
Yves Mukandama,It's great,Positive,0.974
Tony R.S. Suarez,TonyR.Suarez penaurree,Neutral,0.807
sharman a,Good,Positive,0.983
Thecaster230,Amazing app pretty good to remember you what you should do :3,Positive,0.95
nisar eahmad,Nice,Positive,0.947
Ksanbah Lyngwa,Interesting but personally not needed.,Positive,0.457
